"name","pub_count"
Vincent K. N. Lau,65
Georgios B. Giannakis,50
K. J. Ray Liu,49
Jon W. Mark,32
Giuseppe Caire,30
Lin Cai 0001,29
Andrea J. Goldsmith,28
Yi-Bing Lin,28
Ross D. Murch,27
Murat Uysal,26
Ali Ghrayeb,24
Gordon L. Stber,24
Bruno Clerckx,23
Cihan Tepedelenlioglu,23
Qian Zhang 0001,23
Yik-Chung Wu,23
John M. Cioffi,22
Lutz H.-J. Lampe,22
Xinbing Wang,21
Ying Jun Zhang,21
Ashutosh Sabharwal,20
Behnaam Aazhang,19
Chenyang Yang,19
Husheng Li,18
Soung Chang Liew,18
Wolfgang H. Gerstacker,18
Harald Haas,17
Luca Sanguinetti,17
Sudharman K. Jayaweera,17
Yan Chen 0007,17
Are Hjrungnes,16
Bechir Hamdaoui,16
Christos V. Verikoukis,16
Guoqiang Mao,16
Ian F. Akyildiz,16
Marios Kountouris,16
Pingyi Fan,16
Sennur Ulukus,16
Wanjiun Liao,16
Xiaoli Ma,16
Young-Chai Ko,16
Hsiao-Chun Wu,15
Hyundong Shin,15
Xin Wang 0003,15
Yu-Dong Yao,15
Ana I. Prez-Neira,14
Ha H. Nguyen,14
Jianwei Huang,14
Junshan Zhang,14
Kwang-Cheng Chen,14
Kyeong Jin Kim,14
Marco Chiani,14
Mazen O. Hasna,14
Ramy H. Gohary,14
Xuemin (Sherman) Shen,14
Dan Keun Sung,13
Henk Wymeersch,13
Matthew R. McKay,13
Matthias Ptzold,13
Michael L. Honig,13
Shenghui Song 0001,13
Tung-Sang Ng,13
Yahong Rosa Zheng,13
Aylin Yener,12
David James Love,12
Diomidis S. Michalopoulos,12
Geert Leus,12
Hanbae Kong 0001,12
Hoon Lee,12
Huiming Wang,12
Jun Cai,12
Leandros Tassiulas,12
Mihaela van der Schaar,12
Narayan B. Mandayam,12
Roger S. Cheng,12
Romano Fantacci,12
Xiaohu Ge,12
Angel E. Lozano,11
Carlo Fischione,11
Chadi Abou-Rjeily,11
Davide Dardari,11
Giorgio Matteo Vitetta,11
Guosen Yue,11
Hai Lin 0001,11
Leila Musavian,11
Mahesh K. Varanasi,11
Mischa Dohler,11
Mounir Hamdi,11
Namyoon Lee,11
Q. T. Zhang,11
Ralf R. Mller,11
Shih-Chun Lin,11
Vahid Tarokh,11
Vincenzo Lottici,11
Xu Zhu 0001,11
Yi Shi 0001,11
Yingbo Hua,11
A. S. Madhukumar,10
Boya Di,10
Brian L. Mark,10
Chadi Assi,10
Daniel K. C. So,10
Holger Boche,10
John D. Matyjas,10
Roy D. Yates,10
Song Chong,10
Soon Xin Ng,10
Steven D. Blostein,10
Tao Yang 0004,10
Tsung-Hui Chang,10
Wei Ni 0001,10
Yong-Hwan Lee,10
